GEOID,countyfp20,namelsad20,statefp20,bgid,tractce20,intptlat20,funcstat20,intptlon20,blkgrpce20,mtfcc20,aland20,awater20,objectid
250250406001.00,25,Block Group 1,25,406001,40600,42.3833695,S,-71.0707743,1,G5030,1265377,413598,1
250250511011.00,25,Block Group 1,25,511011,51101,42.3882285,S,-71.0046816,1,G5030,220626,0,2
250250511014.00,25,Block Group 4,25,511014,51101,42.3913407,S,-71.0020343,4,G5030,227071,270,3
250259816001.00,25,Block Group 1,25,9816001,981600,42.3886205,S,-70.9934424,1,G5030,586981,158777,4
250250102043.00,25,Block Group 3,25,102043,10204,42.3459611,S,-71.1020344,3,G5030,145888,0,5
250250102042.00,25,Block Group 2,25,102042,10204,42.3459559,S,-71.1053251,2,G5030,67705,607,6
250251106073.00,25,Block Group 3,25,1106073,110607,42.2889047,S,-71.1310084,3,G5030,363586,0,7
250259810001.00,25,Block Group 1,25,9810001,981000,42.298882,S,-71.1267094,1,G5030,1134184,4752,8
250251201053.00,25,Block Group 3,25,1201053,120105,42.3159332,S,-71.1260125,3,G5030,530437,159,9
250250808011.00,25,Block Group 1,25,808011,80801,42.3354282,S,-71.0947649,1,G5030,196281,0,10
250250104052.00,25,Block Group 2,25,104052,10405,42.3428715,S,-71.091054,2,G5030,84520,0,11
250250107021.00,25,Block Group 1,25,107021,10702,42.3509702,S,-71.0755578,1,G5030,156192,0,12
250250107023.00,25,Block Group 3,25,107023,10702,42.3530627,S,-71.0738185,3,G5030,92414,0,13
250250107012.00,25,Block Group 2,25,107012,10701,42.3509734,S,-71.0815215,2,G5030,47170,0,14
250250108013.00,25,Block Group 3,25,108013,10801,42.3534592,S,-71.0792448,3,G5030,54335,0,15
250250107011.00,25,Block Group 1,25,107011,10701,42.3499181,S,-71.0828068,1,G5030,74123,0,16
250250104081.00,25,Block Group 1,25,104081,10408,42.3431682,S,-71.0958461,1,G5030,43381,0,17
250250203011.00,25,Block Group 1,25,203011,20301,42.3631736,S,-71.0686464,1,G5030,262787,528,18
250250404012.00,25,Block Group 2,25,404012,40401,42.3726795,S,-71.0650047,2,G5030,312222,26534,19
250250101033.00,25,Block Group 3,25,101033,10103,42.3505468,S,-71.1056095,3,G5030,145013,0,20
250250506002.00,25,Block Group 2,25,506002,50600,42.370921,S,-71.0373551,2,G5030,82932,0,21
250250910014.00,25,Block Group 4,25,910014,91001,42.3169885,S,-71.0502444,4,G5030,356523,9962,22
250250611011.00,25,Block Group 1,25,611011,61101,42.3281605,S,-71.0536555,1,G5030,49678,0,23
250250003011.00,25,Block Group 1,25,3011,301,42.3562597,S,-71.1659934,1,G5030,221956,0,24
250250108022.00,25,Block Group 2,25,108022,10802,42.3507651,S,-71.0879982,2,G5030,60427,0,25
250259807001.00,25,Block Group 1,25,9807001,980700,42.2614817,S,-71.1375704,1,G5030,2888945,53061,26
250251401061.00,25,Block Group 1,25,1401061,140106,42.2738738,S,-71.1371416,1,G5030,219472,3116,27
250250909012.00,25,Block Group 2,25,909012,90901,42.3151612,S,-71.0393475,2,G5030,900600,293189,28
250250608004.00,25,Block Group 4,25,608004,60800,42.3350438,S,-71.0536394,4,G5030,148884,0,29
250251001001.00,25,Block Group 1,25,1001001,100100,42.2914379,S,-71.0930098,1,G5030,194999,0,30
250259803001.00,25,Block Group 1,25,9803001,980300,42.3006134,S,-71.094613,1,G5030,2081297,27540,31
250250704021.00,25,Block Group 1,25,704021,70402,42.3450302,S,-71.0632552,1,G5030,121646,0,32
