GEOID,place,state_abbr,county,ua_name,ua_pop,Congressional District,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc
250250001011.00,Boston,MA,Suffolk County,"Boston, MA--NH",4309006,MA Congressional District 7,1052,832,0.140290799,Forest,TESA,0.4,0.2087,0.1913,0.380399486,0.436298077,0.436298077,0.389156627,0.389156627,0.070146819,0.091001279,0.059872611,0.056490385,0.029936306,0.04662644,0.082183669,0.300928514,20.23,0.851380423,85,89,D,0.015625,0.040865385
250250001012.00,Boston,MA,Suffolk County,"Boston, MA--NH",4309006,MA Congressional District 7,824,992,0.109634473,Forest,TESA,0.3,0.2478,0.0522,0.335131603,0.147177419,0.147177419,0.181451613,0.181451613,0.05704698,0.074006893,0.413105413,0.29233871,0.206552707,0.04662644,0.082183669,0.300928514,19.4,0.836500538,96,89,D,0.204637097,0.087701613
250250001021.00,Boston,MA,Suffolk County,"Boston, MA--NH",4309006,MA Congressional District 7,1020,1145,0.171136434,Forest,TESA,0.2,0.1265,0.0735,0.393341905,0.556331878,0.556331878,0.109170306,0.109170306,0.019607843,0.025437202,0.19519833,0.163318777,0.097599165,0.108976119,0.192081087,0.300928514,28.52,1,94,89,D,0.137117904,0.026200873
250250001022.00,Boston,MA,Suffolk County,"Boston, MA--NH",4309006,MA Congressional District 7,2694,2561,0.896374588,Forest,TESA,0.4,0.1162,0.2838,0.39566595,0.434986333,0.434986333,0.319016009,0.319016009,0.017571885,0.022795959,0.2805,0.219055057,0.14025,0.108976119,0.192081087,0.300928514,22.36,0.889566153,77,89,D,0.110113237,0.10894182
250250002011.00,Boston,MA,Suffolk County,"Boston, MA--NH",4309006,MA Congressional District 7,966,1222,0.241017201,Forest,TESA,0.5,0.2274,0.2726,0.421081673,0.62111293,0.62111293,0.353518822,0.353518822,0.082135524,0.106554193,0.268951194,0.211947627,0.134475597,0.150172329,0.264693444,0.24068302,16.04,0.776263894,76,89,C,0.162847791,0.049099836
250250002012.00,Boston,MA,Suffolk County,"Boston, MA--NH",4309006,MA Congressional District 7,863,783,0.097527385,Forest,TESA,0.3,0.2342,0.0658,0.349475317,0.233716475,0.233716475,0.190293742,0.190293742,0.031561462,0.040944599,0.390763766,0.280970626,0.195381883,0.150172329,0.264693444,0.24068302,15.95,0.774650412,95,89,C,0.067688378,0.213282248
250250002013.00,Boston,MA,Suffolk County,"Boston, MA--NH",4309006,MA Congressional District 7,1303,1353,0.175315494,Forest,TESA,0.4,0.3503,0.0497,0.402887302,0.292682927,0.292682927,0.424535316,0.424535316,0.135440181,0.17570618,0.375,0.272727273,0.1875,0.150172329,0.264693444,0.24068302,15.69,0.769989243,95,89,C,0.202512934,0.070214339
250250002014.00,Boston,MA,Suffolk County,"Boston, MA--NH",4309006,MA Congressional District 7,821,951,0.085332726,Forest,TESA,0.3,0.2404,0.0596,0.353976665,0.327024185,0.327024185,0.226077813,0.226077813,0.027631579,0.035846373,0.174074074,0.148264984,0.087037037,0.150172329,0.264693444,0.24068302,17.03,0.794012191,95,89,C,0.131440589,0.016824395
250250002021.00,Boston,MA,Suffolk County,"Boston, MA--NH",4309006,MA Congressional District 7,828,617,0.131320233,Forest,TESA,0.4,0.3439,0.0561,0.373402914,0.431118314,0.431118314,0.132901135,0.132901135,0.05,0.064864865,0.288100209,0.223662885,0.144050104,0.158147773,0.278750946,0.322002971,14.73,0.752778774,95,89,C,0.129659643,0.094003241
250250002022.00,Boston,MA,Suffolk County,"Boston, MA--NH",4309006,MA Congressional District 7,804,922,0.12306646,Forest,TESA,0.4,0.2624,0.1376,0.38842152,0.302603037,0.302603037,0.154013015,0.154013015,0.064128257,0.083193414,0.694852941,0.409978308,0.347426471,0.158147773,0.278750946,0.322002971,14.87,0.755288634,89,89,C,0.276572668,0.13340564
