GEOID,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc
250010101001,Provincetown,Massachusetts,MA,Barnstable County,"Provincetown, MA",5698,MA Congressional District 9,985,1025.0,14.1202576362,Forest,Google,0.5,-1.0,-1.0,0.503227302142061,0.105365853658536,0.199938132064247,0.225365853658537,0.340622449286832,0.068493150684932,0.283228433913365,0.421636615811373,0.296585365853659,0.12007496851578,0.061906133026202,1.0,0.349365503777268,7.62,0.842982862436313,84,81.0,,0.0,0.296585365853659
250010101002,Provincetown,Massachusetts,MA,Barnstable County,"Provincetown, MA",5698,MA Congressional District 9,637,509.0,1.3252129447,Forest,Google,0.5,-1.0,-1.0,0.581648004296617,0.12770137524558,0.242321146197709,0.157170923379175,0.229455331393474,0.241830065359477,1.0,1.086065573770492,0.520628683693517,0.573920696277975,0.061906133026202,1.0,0.349365503777268,-3.0,0.351088466882816,100,81.0,,0.076620825147348,0.444007858546169
250010101003,Provincetown,Massachusetts,MA,Barnstable County,"Provincetown, MA",5698,MA Congressional District 9,642,659.0,0.4858515422,Forest,Google,0.5,-1.0,-1.0,0.581079550011427,0.180576631259484,0.34265516858507,0.292569659442724,0.450173897904621,0.168367346938776,0.696221731936018,0.685421994884911,0.406676783004552,0.300256560399411,0.061906133026202,1.0,0.349365503777268,2.44,0.603056970819824,100,81.0,,0.072837632776935,0.333839150227618
250010101004,Provincetown,Massachusetts,MA,Barnstable County,"Provincetown, MA",5698,MA Congressional District 9,729,548.0,0.6448710565,Forest,Google,0.5,-1.0,-1.0,0.562446213136321,0.078467153284672,0.148896207940182,0.355932203389831,0.553463561287748,0.0125,0.051689189189189,0.978339350180505,0.494525547445255,0.500337078708919,0.061906133026202,1.0,0.349365503777268,10.86,0.993052339045854,67,81.0,,0.208029197080292,0.286496350364964
250010101005,Provincetown,Massachusetts,MA,Barnstable County,"Provincetown, MA",5698,MA Congressional District 9,664,841.0,0.3431071611,Forest,Google,0.4,-1.0,-1.0,0.562271018139194,0.223543400713436,0.424187233548911,0.331747919143876,0.514039850948533,0.050209205020921,0.207621847789212,0.44750430292599,0.309155766944114,0.137744185282188,0.061906133026202,1.0,0.349365503777268,10.2,0.962482630847615,73,81.0,,0.109393579072533,0.199762187871581
250010102061,Wellfleet,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,829,1112.0,5.4818093016,Forest,Google,0.5,-1.0,-1.0,0.347848738362438,0.348920863309353,0.467422288584227,0.195612431444241,0.329067641681901,0.00329489291598,0.01084078606731,0.529573590096286,0.346223021582734,0.264786795048143,0.002857142857143,0.013067980295566,0.43688769960919,-0.06,0.405639218199295,100,100.0,,0.296762589928057,0.049460431654676
250010102062,Wellfleet,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,1066,1766.0,6.3360159165,Forest,Google,0.5,-1.0,-1.0,0.368329954259245,0.108154020385051,0.144885574478087,0.421416234887737,0.708924507287783,0.0,0.0,0.923747276688453,0.480181200453001,0.461873638344227,0.002857142857143,0.013067980295566,0.43688769960919,-2.69,0.321371355334829,100,100.0,,0.079841449603624,0.400339750849377
250010102063,Wellfleet,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,1417,1427.0,9.620654309,Forest,Google,0.5,-1.0,-1.0,0.265361027918098,0.042747021723896,0.057264878158427,0.087596355991591,0.147358355873704,0.00524246395806,0.017248642576296,0.582039911308204,0.367904695164681,0.291019955654102,0.002857142857143,0.013067980295566,0.43688769960919,-2.63,0.323293816084588,100,100.0,,0.073580939032936,0.294323756131745
250010102081,Truro,Massachusetts,MA,Barnstable County,"Provincetown, MA",5698,MA Congressional District 9,862,722.0,7.0714540577,Forest,Google,0.5,-1.0,-1.0,0.433846527863915,0.0,0.0,0.246537396121884,0.375134976059214,0.042895442359249,0.177378450836896,1.277602523659306,0.560941828254848,0.704752180027044,0.042196918955124,0.681627439679746,0.524759146082675,-7.71,0.132931912922649,100,100.0,,0.131578947368421,0.429362880886427
250010102082,Truro,Massachusetts,MA,Barnstable County,"Provincetown, MA",5698,MA Congressional District 9,709,330.0,3.9253980694,Forest,Google,0.5,-1.0,-1.0,0.348072374160598,0.0,0.0,0.090909090909091,0.121439428864411,0.0,0.0,0.641791044776119,0.390909090909091,0.270453945585776,0.042196918955124,0.681627439679746,0.524759146082675,-3.43,0.331171838814266,100,100.0,,0.057575757575758,0.333333333333333
