FID,ID,NAME,ST_ABBREV,TC_ID,Shape_Leng,OBJECTID,Mean_am_T_,Mean_am_HI,Mean_p2_T_,Mean_p2_HI,Mean_ev_T_,Mean_ev_HI,Shape__Area,Shape__Length
1,25017342400,250173424.00,MA,1,1561.64307152,1,76.4829737345,77.751982371,91.4875920614,96.1149635315,85.9629910787,91.1298611959,7041.68823242188,1561.64307148569
2,25017350103,250173501.03,MA,2,3873.24532695,2,76.9199236854,78.1482196097,92.1177609977,97.1425571765,85.9837571484,91.7142994768,62339.3889160156,3873.24532691878
3,25017350104,250173501.04,MA,3,363.457910157,3,76.8289680481,77.9925632477,91.6433238983,96.9596328735,86.0014419556,91.8610553741,4886.5849609375,363.457910146947
4,25017351403,250173514.03,MA,4,1893.66474801,4,76.6545504866,77.8775019152,91.7679974786,97.1971724938,86.5336019582,91.889831543,29708.6750488281,1893.66474799724
5,25017351404,250173514.04,MA,5,186.413186668,5,76.9308573405,78.1286061605,92.1160761515,96.6539433797,85.9934844971,91.2926661174,1499.3759765625,186.413186667344
6,25017351500,250173515.00,MA,6,4424.8624091,6,77.1266322889,78.4216930992,91.9757630198,96.5141930831,85.5077157272,90.4485766762,24299.9194335938,4424.86240908439
7,25017352101,250173521.01,MA,7,3641.94678092,7,76.9585051998,78.2101760372,92.6123142858,97.8212285196,86.5068876205,91.8290304369,35344.4072265625,3641.9467809122
8,25017352102,250173521.02,MA,8,632.63131946,8,77.0204137166,78.3036448161,91.8300857544,97.9062525431,86.4795583089,91.0671374003,7235.95922851563,632.631319441397
9,25017373100,250173731.00,MA,9,1200.02224814,9,74.7234438942,76.0063058762,90.762147086,96.8118213472,83.1178850446,89.0967287336,19428.7960205078,1200.02224812206
10,25017373500,250173735.00,MA,10,5691.82172482,10,73.8582026742,75.1700713418,89.9626853249,96.2316624035,82.9243269834,88.7380185561,45778.9851074219,5691.82172481463
11,25017373600,250173736.00,MA,11,8004.81278506,11,73.7241812717,75.0046342143,89.0072009483,93.2596212666,82.5995303379,87.3344931442,94081.2886962891,8004.81278504837
12,25017373900,250173739.00,MA,12,209.383173338,12,0,0,0,0,0,0,807.397216796875,209.383173333049
13,25021400100,250214001.00,MA,13,7197.09948907,13,75.4350669675,76.5985274896,91.7511543956,95.985020149,84.475984961,89.3274986453,139507.802490234,7197.09948907444
14,25021400200,250214002.00,MA,14,4162.28037634,14,75.5816919897,76.7280424044,92.5852748326,97.1203912512,86.334971044,90.9430117917,84384.1335449219,4162.28037636986
15,25021400300,250214003.00,MA,15,4273.02346851,15,75.938451206,77.0575215957,91.5753122218,95.4571225783,85.5557650398,90.2237355849,38143.2326660156,4273.02346849164
16,25021400400,250214004.00,MA,16,4957.2320031,16,74.46073699,75.6674414873,91.9016683102,96.7412602901,83.9851857424,88.7549784184,63728.771484375,4957.23200307842
17,25021400600,250214006.00,MA,17,5088.2804738,17,74.2604861259,75.6398472786,91.0304882526,96.5611841679,83.6118652821,88.6419670582,49946.3356933594,5088.28047382724
18,25021400800,250214008.00,MA,18,113.638054564,18,0,0,0,0,0,0,281.37841796875,113.638054552029
19,25021400900,250214009.00,MA,19,83.3473167187,19,0,0,0,0,0,0,70.609619140625,83.3473167186718
20,25021401000,250214010.00,MA,20,790.56788667,20,72.8734111786,74.1115837097,89.6405715942,94.395154953,82.7367134094,87.4047470093,4693.76708984375,790.567886661061
21,25021401100,250214011.00,MA,21,6538.83678722,21,73.0676119935,74.3831007714,90.22275992,95.9914100497,82.6195057888,86.0891330195,55649.8662109375,6538.83678721622
22,25021401200,250214012.00,MA,22,6694.6109106,22,72.6523465096,73.9576464714,89.1163794335,94.7834320068,82.0393475472,85.4984638945,57163.1251220703,6694.61091057063
23,25021402101,250214021.01,MA,23,413.388469524,23,75.0826721191,76.6759719849,90.6970405579,95.6507911682,83.7739562988,89.6963386536,1977.3857421875,413.388469524233
24,25021402102,250214021.02,MA,24,15444.9541699,24,73.35665182,74.6691054507,90.0184278735,95.8782679899,82.9715659186,88.2264818577,207145.978393555,15444.9541698964
25,25021402200,250214022.00,MA,25,4114.37495243,25,74.4719092186,75.8101942996,91.3062169501,96.7561416626,84.9957929571,90.1434576156,49781.7197265625,4114.37495247503
26,25021402300,250214023.00,MA,26,1273.62608232,26,0,0,0,0,0,0,2265.78186035156,1273.62608232326
27,25021415300,250214153.00,MA,27,397.512102872,27,0,0,0,0,0,0,1662.50671386719,397.512102897582
28,25021416102,250214161.02,MA,28,9532.08925717,28,72.9733942504,74.2831344604,89.2994939332,95.7410965786,82.1760169409,86.8381149128,92207.1030273438,9532.08925729851
29,25021416200,250214162.00,MA,29,1450.24775408,29,74.7694656372,76.128024292,89.6417724609,96.2451065063,82.0507736206,87.4653633118,10964.072265625,1450.24775405623
30,25021416300,250214163.00,MA,30,422.699991411,30,75.920560201,77.2824350993,90.593866984,97.2355651855,82.5155512492,87.8728688558,1534.23828125,422.699991453974
31,25025000100,250250001.00,MA,31,28287.3348264,31,74.7509780806,75.9591489191,91.7390178698,96.1788019024,85.0871155115,89.9240776291,19302776.9753418,28287.3348264044
