FID,OBJECTID_S,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STAr,Shape_STLe,ShapeSTAre,ShapeSTLen,PARK_ID,REGION,Protected,TC_ID,Shape_Leng,OBJECTID,TC_ID_1,LandArea,Gain,Loss,No_Change,TreeCanopy,TreeCano_1,Change_Are,Change_Per,TreeCano_2,TreeCano_3,Change_P_1,Shape__Area,Shape__Length
1,7819,Wilson Park,City of Boston, ,1,Allston-Brighton,0.09717567,Off 1686 Commonwealth Ave.,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,PWD,0,0,4233.046875,256.7300082, ,PARK_Maintenance_Region 4,0,1,256.7300082,1,1,4233.9375,266.416146,111.99722,1916.368199,2028.365419,2182.784345,154.418926,7.612973705,47.90730659,51.55447724,3.647170653,4233.047119,256.7300082
2,7820,Nickerson Field,Private, ,3,Allston-Brighton,6.34559501, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,N,Boston University Field, ,0,0,276419.0332,2104.702611, ,INFO_Reallocation From Dept,0,2,2104.702611,2,2,276420.9375,2009.678543,3935.103358,15918.36149,19853.46485,17928.04003,-1925.424815,-9.698180289,7.182330335,6.485774991,-0.696555345,276419.0325,2104.702611
3,7821,Hooker-Sorrento Street Playground,City of Boston,A97,3,Allston-Brighton,1.00537799,120 Hooker Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,43737.35034,852.8441117,156,PARK_Maintenance_Region 4,1,3,852.8441117,3,3,43735.5,5013.271743,572.8823522,20802.82182,21375.70417,25816.09357,4440.389391,20.77306719,48.87495095,59.02777736,10.1528264,43737.35059,852.8441117
4,7822,Smith Playground,City of Boston,A97,3,Allston-Brighton,14.79771231,235 Western Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,654457.5034,3624.893621,284,PARK_Maintenance_Region 4,1,4,3624.893621,4,4,654454.125,5961.176255,41283.58436,36221.72523,77505.30959,42182.90148,-35322.40811,-45.57417846,11.8427414,6.445509299,-5.397232099,654457.5042,3624.893621
5,7823,Fern Square,City of Boston,A97,1,Allston-Brighton,0.04054316,Opposite 101 Franklin Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,"James F. Collins Square, Franklin Square", ,0,0,1938.695068,207.3205312,115,PARK_Maintenance_Region 4,1,5,207.3205312,5,5,1940.625,73.06190819,0,1782.614506,1782.614506,1855.676414,73.06190819,4.098581492,91.8577523,95.62261713,3.764864834,1938.69458,207.3205312
6,7824,Ringer Playground,City of Boston,A97,3,Allston-Brighton,10.25585494, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,447031.2869,3765.829546,259,PARK_Maintenance_Region 4,1,6,3765.829546,6,6,447030.5625,17001.78788,4337.610655,273535.3961,277873.0068,290537.184,12664.17723,4.557541365,62.15973361,64.99268918,2.832955572,447031.2871,3765.829546
7,7825,Kennedy Rock,Private, ,6,Allston-Brighton,2.21054314, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,96292.97168,1270.349749, ,INFO_Reallocation From Dept,0,7,1270.349749,7,7,96287.0625,1680.283866,1443.63797,76055.25737,77498.89534,77735.54123,236.6458961,0.305353896,80.48733997,80.73311119,0.245771228,96292.97095,1270.349749
8,7826,McKinney Playground,City of Boston,A97,3,Allston-Brighton,5.89138132,61-74 Faneuil Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,256633.1343,2170.126268,193,PARK_Maintenance_Region 4,1,8,2170.126268,8,8,256632.75,10120.1751,1866.133844,62257.79455,64123.92839,72377.96964,8254.041253,12.87201433,24.98665053,28.20293577,3.216285238,256633.1333,2170.126268
9,7827,Hobart Park,City of Boston,A97,3,Allston-Brighton,0.80884689,Opposite 18 Ranlegh Rd.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,35233.99756,797.5968022,154,PARK_Maintenance_Region 4,1,9,797.5968022,9,9,35232.1875,1593.239509,1177.44294,9664.866238,10842.30918,11258.10575,415.7965688,3.834944771,30.77387454,31.95403563,1.180161092,35233.99731,797.5968022
10,7828,Market Street Burying Ground,City of Boston,Ch114S7/A97,4,Allston-Brighton,0.39534779,Opposite 381 Market Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,0,0,17221.65601,536.818225,188,PARK_Cemetery Maintenance Request,1,10,536.8182251,10,10,17222.0625,1624.011624,426.2661687,6670.908295,7097.174464,8294.919919,1197.745455,16.87637047,41.2097823,48.16449783,6.954715529,17221.65625,536.818225
