NBHD,DIST_ID,SPEC_DIST,GENUS_DIST,AGE_DIST,EXPECTED_FLOODING,GROWTH,LOSS,NET
Allston,1,"{'honeylocust': 0.12, 'littleleaf linden': 0.10, 'norway maple': 0.10, 'red maple': 0.06, 'pin oak': 0.06, 'northern red oak': 0.05, 'japanese zelvoka': 0.04, 'london planetree': 0.04, 'hedge maple': 0.04, 'accolade elm': 0.04}","{'acer': 0.215, 'gleditisia': 0.126, 'tilia': 0.142, 'ulmus': 0.075, 'ginkgo': 0.034, 'ulmus': 0.075, 'quercus': 0.128, 'prunus': 0.029, 'platanus': 0.04, 'fraxinus': 0.035, 'zelkova': 0.04}","{'young': 0.374, 'establishing': 0.449, 'maturing': 0.099, 'mature': 0.079}",limited,79,86,loss
Allston-Brighton,1,"{'honeylocust': 0.12, 'littleleaf linden': 0.10, 'norway maple': 0.10, 'red maple': 0.06, 'pin oak': 0.06, 'northern red oak': 0.05, 'japanese zelvoka': 0.04, 'london planetree': 0.04, 'hedge maple': 0.04, 'accolade elm': 0.04}","{'acer': 0.215, 'gleditisia': 0.126, 'tilia': 0.142, 'ulmus': 0.075, 'ginkgo': 0.034, 'ulmus': 0.075, 'quercus': 0.128, 'prunus': 0.029, 'platanus': 0.04, 'fraxinus': 0.035, 'zelkova': 0.04}","{'young': 0.374, 'establishing': 0.449, 'maturing': 0.099, 'mature': 0.079}",limited,79,86,loss
Allston Brighton,1,"{'honeylocust': 0.12, 'littleleaf linden': 0.10, 'norway maple': 0.10, 'red maple': 0.06, 'pin oak': 0.06, 'northern red oak': 0.05, 'japanese zelvoka': 0.04, 'london planetree': 0.04, 'hedge maple': 0.04, 'accolade elm': 0.04}","{'acer': 0.215, 'gleditisia': 0.126, 'tilia': 0.142, 'ulmus': 0.075, 'ginkgo': 0.034, 'ulmus': 0.075, 'quercus': 0.128, 'prunus': 0.029, 'platanus': 0.04, 'fraxinus': 0.035, 'zelkova': 0.04}","{'young': 0.374, 'establishing': 0.449, 'maturing': 0.099, 'mature': 0.079}",limited,79,86,loss
Back Bay,2,"{'honeylocust': 0.28, 'callery pear': 0.13, 'littleleaf linden': 0.12, 'norway maple': 0.05, 'ginkgo': 0.05, 'red maple': 0.05, 'japanese zelvoka': 0.03, 'american elm': 0.03, 'accolade elm': 0.03, 'pin oak': 0.02}","{'gleditisia': 0.28, 'tilia': 0.14, 'pyrus': 0.13, 'acer': 0.10, 'ulmus': 0.07, 'quercus': 0.06, 'ginkgo': 0.05, 'zelkova': 0.03, 'prunus': 0.01, 'fraxinus': 0.1}","{'young': 0.39, 'establishing': 0.52, 'maturing': 0.05 , 'mature': 0.02 }",expected,19,13,gain
Beacon Hill,3,"{'honeylocust': 0.28, 'callery pear': 0.13, 'littleleaf linden': 0.12, 'norway maple': 0.05, 'ginkgo': 0.05, 'red maple': 0.05, 'japanese zelvoka': 0.03, 'american elm': 0.03, 'accolade elm': 0.03, 'pin oak': 0.02}","{'gleditisia': 0.28, 'tilia': 0.14, 'pyrus': 0.13, 'acer': 0.10, 'ulmus': 0.07, 'quercus': 0.06, 'ginkgo': 0.05, 'zelkova': 0.03, 'prunus': 0.01, 'fraxinus': 0.1}","{'young': 0.39, 'establishing': 0.52, 'maturing': 0.05 , 'mature': 0.02 }",expected,19,13,gain
Brighton,1,"{'honeylocust': 0.12, 'littleleaf linden': 0.10, 'norway maple': 0.10, 'red maple': 0.06, 'pin oak': 0.06, 'northern red oak': 0.05, 'japanese zelvoka': 0.04, 'london planetree': 0.04, 'hedge maple': 0.04, 'accolade elm': 0.04}","{'acer': 0.215, 'gleditisia': 0.126, 'tilia': 0.142, 'ulmus': 0.075, 'ginkgo': 0.034, 'ulmus': 0.075, 'quercus': 0.128, 'prunus': 0.029, 'platanus': 0.04, 'fraxinus': 0.035, 'zelkova': 0.04}","{'young': 0.374, 'establishing': 0.449, 'maturing': 0.099, 'mature': 0.079}",limited,79,86,loss
Charlestown,4,"{'honeylocust': 0.27, 'callery pear': 0.06, 'littleleaf linden': 0.09, 'ginkgo': 0.03, 'red maple': 0.05, 'japanese zelkova': 0.05, 'norway maple': 0.05, 'pin oak': 0.08, 'london planetree': 0.03, 'green ash': 0.05}","{'gleditisia': 0.269, 'tilia': 0.109, 'pyrus': 0.065, 'acer': 0.12, 'ulmus': 0.031, 'quercus': 0.124, 'ginkgo': 0.03, 'platanus': 0.033, 'fraxinus': 0.055, 'zelkova': 0.047}","{'young': 0.27, 'establishing': 0.629, 'maturing': 0.85 , 'mature': 0.016}",expected,21,11,gain
Central Boston,5,"{'honeylocust': 0.234, 'callery pear': 0.5, 'littleleaf linden': 0.11, 'ginkgo': 0.06, 'red maple': 0.06, 'japanese pagoda tree': 0.02, 'accolade elm': 0.05, 'pin oak': 0.07, 'london planetree': 0.05, 'freeman maple': 0.03}","{'gleditisia': 0.34, 'tilia': 0.11, 'pyrus': 0.4, 'acer': 0.10, 'ulmus': 0.07, 'quercus': 0.08, 'ginkgo': 0.05, 'platanus': 0.04, 'sophora': 0.02}","{'young': 0.439, 'establishing': 0.534, 'maturing': 0.02 , 'mature': 0.002 }",expected,16,8,gain
Dorchester,6,"{'honeylocust': 0.14, 'callery pear': 0.04, 'littleleaf linden': 0.06, 'ginkgo': 0.02, 'red maple': 0.07, 'japanese zelkova': 0.04, 'norway maple': 0.08, 'pin oak': 0.04, 'crabapple spp.': 0.03, 'green ash': 0.05}","{'acer': 0.223, 'gleditisia': 0.144, 'tilia': 0.076, 'pyrus': 0.044, 'malus': 0.032, 'ulmus': 0.033, 'quercus': 0.099, 'prunus': 0.045, 'platanus': 0.033, 'fraxinus': 0.099, 'zelkova': 0.038}","{'young':0.383 , 'establishing': 0.479 , 'maturing': 0.098, 'mature': 0.04}",expected,163,165,loss
East Boston,7,"{'honeylocust': 0.17, 'freeman maple': 0.03, 'littleleaf linden': 0.05, 'red maple': 0.02, 'japanese zelkova': 0.01, 'norway maple': 0.03, 'crabapple spp.': 0.02, 'green ash': 0.03}","{'acer': 0.189, 'tilia': 0.175, 'gleditsia': 0.17, 'fraxinus': 0.07, 'prunus': 0.059, 'quercus': 0.046, 'malus': 0.042, 'platanus': 0.037, 'zelkova': 0.032, 'liquidambar': 0.032}","{'young': 0.369 , 'establishing': 0.448 , 'maturing':  0.144, 'mature':0.039 }",at risk,27,47,gain
Fenway,8,"{'honeylocust': 0.24, 'littleleaf linden': 0.07, 'red maple': 0.07, 'japanese zelkova': 0.05, 'ginkgo': 0.05, 'accolade elm': 0.05, 'green ash': 0.05, 'sweetgum': 0.04, 'american elm': 0.04, 'callery pear': 0.04}","{'gleditsia': 0.236, 'ulmus': 0.142, 'acer': 0.1, 'tilia': 0.096, 'quercus': 0.085, 'zelkova': 0.051, 'ginkgo': 0.051, 'fraxinus': 0.048, 'liquidambar': 0.041, 'pyrus': 0.038}","{'young': 0.5 , 'establishing': 0.418 , 'maturing': 0.052 , 'mature': 0.03}",limited,37,28,gain
Longwood,8,"{'honeylocust': 0.24, 'littleleaf linden': 0.07, 'red maple': 0.07, 'japanese zelkova': 0.05, 'ginkgo': 0.05, 'accolade elm': 0.05, 'green ash': 0.05, 'sweetgum': 0.04, 'american elm': 0.04, 'callery pear': 0.04}","{'gleditsia': 0.236, 'ulmus': 0.142, 'acer': 0.1, 'tilia': 0.096, 'quercus': 0.085, 'zelkova': 0.051, 'ginkgo': 0.051, 'fraxinus': 0.048, 'liquidambar': 0.041, 'pyrus': 0.038}","{'young': 0.5 , 'establishing': 0.418 , 'maturing': 0.052 , 'mature': 0.03}",limited,37,28,
Hyde Park,10,"{'norway maple': 0.2, 'littleleaf linden': 0.15, 'honeylocust': 0.13, 'pin oak': 0.05, 'red maple': 0.04, 'crimson king maple': 0.03, 'callery pear': 0.03, 'crabapple spp.': 0.03, 'japanese tree lilac': 0.03, 'hedge maple': 0.02}","{'acer': 0.318, 'tilia': 0.158, 'gleditisia': 0.135, 'quersus': 0.074, 'prunus': 0.061, 'malus': 0.032, 'pyrus': 0.032, 'syringa': 0.028, 'ulmus': 0.023, 'fraxinus': 0.021}","{'young': 0.293 , 'establishing': 0.449 , 'maturing': 0.178 , 'mature': 0.08 }",limited,86,113,loss
Jamaica Plain,11,"{'littleleaf linden': 0.14, 'honeylocust': 0.13, 'norway maple': 0.1, 'callery pear': 0.05. 'red maple': 0.05, 'japanese zelkova': 0.05, 'green ash': 0.04, 'crabapple spp.': 0.03, 'hedge maple': 0.02, 'northern red oak': 0.02}","{'acer': 0.218, 'tilia': 0.163, 'gleditisia': 0.127, 'quersus': 0.064, 'prunus': 0.063, 'pyrus': 0.056, 'zelkova': 0.05, 'malus': 0.039, 'ulmus': 0.03, 'fraxinus': 0.05}","{'young': 0.337 , 'establishing': 0.481, 'maturing': 0.122 , 'mature': 0.06}",limited,93,102,loss
Mattapan,12,"{'norway maple': 0.11, 'honeylocust': 0.1, 'littleleaf linden': 0.09, 'red maple': 0.09, 'red maple': 0.05, 'pin oak': 0.04, crimson king maple': 0.03, 'japanese tree lilac': 0.03, 'northern read oak': 0.02, 'american sycamore': 0.02, 'japanese zelkova': 0.02}","{'acer': 0.304, 'tilia': 0.12 , 'gleditisia': 0.129, 'quersus': 0.113, 'prunus': 0.065, 'platanus': 0.036, 'syringa': 0,03,  'zelkova': 0.028, 'malus': 0.03, 'ulmus': 0.03}","{'young': 0.34, 'establishing': 0.432 , 'maturing':  0.152, 'mature': 0.091 }",limited,44,54,loss
Mission Hill,13,"{'callery pear': 0.12, 'red maple': 0.08, 'japanese zelkova': 0.07, 'norther red oak': 0.07, 'ginkgo': 0.06, 'london planetree': 0.05, 'norway maple': 0.05, 'sweetgum': 0.05, 'littlelead linden': 0.03, 'pin oak': 0.03}","{'acer': 0.167, 'gleditisia': 0.129, 'pyrus': 0.119, 'quercus': 0.119, 'zelkova': 0.076, 'ginkgo': 0.058, 'tilia': 0.056, 'platanus': 0.05, 'liquidambar': 0.048, 'ulmus': 0.044}","{'young': 0.435, 'establishing': 0.527, 'maturing': 0.032, 'mature': 0.06}",limited,9,12,gain
Roslindale,14,"{'norway maple': 0.13, honeylocust': 0.13, 'callery pear': 0.05, 'kwanza cherry': 0.05, 'red maple': 0.05, 'green ash': 0.04, 'littlelead linden': 0.04, 'american elm': 0.04, 'japanese tree lilac': 0.04, 'pin oak': 0.04}","{'acer': 0.237, 'gleditisia': 0.128, 'prunus': 0.097, 'quercus': 0.096, 'tilia': 0.69, 'ulmus': 0.058, 'pyrus': 0.054, 'fraxinus': 0.045, 'syringa': 0.038, 'zelkova': 0.029}","{'young': 0.37, 'establishing': 0.482, 'maturing': 0.084, 'mature': 0,064}",limited,66,60,loss
Roxbury,15,"{'honeylocust': 0.22, 'green ash': 0.07, 'callery pear': 0.05, 'london planetree': 0.05, 'northern red oak': 0.05, 'red maple': 0.05, 'littlelead linden': 0.05, 'norway maple': 0.05, 'japaneese zelkova': 0.04, 'pin oak': 0.04}  ","{'gleditisia': 0.226, 'acer': 0.127, 'quercus': 0.121, 'tilia': 0.095, 'fraxinus': 0.074, 'platanus': 0.067, pyrus: 0.06, 'pyrus': 0.06, 'ulmus': 0.051, 'zelkova': 0.047, 'ginkgo': 0.025}","{'young': 0.344 , 'establishing': 0.511 , 'maturing': 0.109 , 'mature': 0.036 }",limited,62,60,loss
South Boston,16,"{'honeylocust': 0.22, 'norway maple': 0.12, 'littleleaf linden': 0.08, 'red maple': 0.07, 'callery pear': 0.07, 'japanese zelkova': 0.06, 'green ash': 0.05, 'accolade elm': 0.03, 'pin oak': 0.03, 'americal elm': 0.02}","{'acer': 0.225, 'gleditisia': 0.219, 'tilia': 0.102, 'pyrus': 0.071, 'ulmus': 0.07, 'zelkova': 0.063, 'fraxinus': 0.056, 'quercus': 0.049, 'ginkgo': 0.021, 'liquidambar': 0.019}","{'young': 0.336, 'establishing': 0.537, 'maturing': 0.088, 'mature': 0,038}",expected,28,37,gain
South End,17,"{'honeylocust': 0.15, 'norway maple': 0.09, 'littleleaf linden': 0.15, 'red maple': 0.07, 'callery pear': 0.06, 'japanese zelkova': 0.06, 'green ash': 0.05, 'accolade elm': 0.07, 'pin oak': 0.03, 'ginkgo': 0.05}","{'acer': 0.155 , 'gleditisia': 0.153 , 'tilia': 0.17, 'pyrus': 0.065 , 'ulmus': 0.087 , 'zelkova': 0.057, 'fraxinus': 0.037 , 'quercus': 0.098, 'ginkgo': 0.05, 'sophora': 0.026}","{'young': 0.337, 'establishing': 0.506, 'maturing': 0.131, 'mature': 0.026}",expected,28,37,gain
West Roxbury,18,"{'honeylocust': 0.07, 'norway maple': 0.19, 'littleleaf linden': 0.08 , 'red maple': 0.07, 'japanese tree lilac': 0.03, 'crabapple spp.': 0.03, 'hedge maple': 0.03, 'pin oak': 0.05, 'crimson king maple': 0.03}","{'acer': 0.353, 'quercus': 0.101, 'tilia': 0.094, 'prunus': 0.073, 'gleditisia': 0.066, 'platanus': 0.042, 'fraxinus': 0.032,'malus': 0.037, 'syringa': 0.036, 'pyrus': 0.27}","{'young': 0.294, 'establishing': 0.385, 'maturing': 0.183, 'mature': 0.138}",limited,126,110,loss
