GEOID1,GEOID2
250250406001.0,145
250250511011.0,175
250250511014.0,178
250259816001.0,576
250250102043.0,69
250250102042.0,68
250251106073.0,479
250259810001.0,566
250251201053.0,486
250250808011.0,272
250250104052.0,86
250250107021.0,98
250250107023.0,100
250250107012.0,96
250250108013.0,103
250250107011.0,95
250250104081.0,88
250250203011.0,114
250250404012.0,144
250250101033.0,63
250250506002.0,165
250250910014.0,343
250250611011.0,215
250250003011.0,11
250250108022.0,105
250259807001.0,564
250251401061.0,538
250250909012.0,339
250250608004.0,211
250251001001.0,394
250259803001.0,563
250250704021.0,237
250251401071.0,540
250251201041.0,482
250250924004.0,392
250250921013.0,378
250250511013.0,177
250251304063.0,531
250251401052.0,537
250250408013.0,149
250250910013.0,342
250259801011.0,562
250250509013.0,171
250250501012.0,151
250250104043.0,83
250251102011.0,459
250250101043.0,66
250250814003.0,295
250250101041.0,64
250250803001.0,263
250250913002.0,353
250251202011.0,487
250250809002.0,275
250251006032.0,422
250251304061.0,529
250250821003.0,316
250250914001.0,354
250251202013.0,489
250251103011.0,460
250251201031.0,481
250250808012.0,273
250250511012.0,176
250251104035.0,468
250251401051.0,536
250251203014.0,493
250251006031.0,421
250251201052.0,485
250250408012.0,148
250250910011.0,340
250250804011.0,265
250250924003.0,391
250251007001.0,423
250251010015.0,442
250251008002.0,429
250250604001.0,191
250250605012.0,197
250251009002.0,435
250250923001.0,385
250251106071.0,477
250250907002.0,335
250250006012.0,36
250250202001.0,111
250250818003.0,306
250250003014.0,14
250251302002.0,514
250250102041.0,67
250250502002.0,154
250251203012.0,491
250250105003.0,91
250250301001.0,120
250250902003.0,324
250251008003.0,430
250250003021.0,15
250250003022.0,16
250250922002.0,382
250250711011.0,253
250250810014.0,280
250250005031.0,28
250251010011.0,438
250250104031.0,78
250250107022.0,99
250250302001.0,122
250250108023.0,106
250250108012.0,102
250250107013.0,97
250250612041.0,220
250250701042.0,226
250250701043.0,227
250250701041.0,225
250250606041.0,204
250250708021.0,248
250250709021.0,251
250250102062.0,75
250250606021.0,202
250250606031.0,203
250250708022.0,249
250250612021.0,218
250250606042.0,205
250250709011.0,250
250250708011.0,247
250250709022.0,252
250250606011.0,201
250250921011.0,376
250250911004.0,347
250250911005.0,348
250250912001.0,349
250250912002.0,350
250250912003.0,351
250250913001.0,352
250250914002.0,355
250250915001.0,356
250250915002.0,357
250250915003.0,358
250250916001.0,359
250250916002.0,360
250250916003.0,361
250250917003.0,364
250250918001.0,365
250251104012.0,463
250251401062.0,539
250251402021.0,544
250259815011.0,575
250250918002.0,366
250250918003.0,367
250250919001.0,368
250250919003.0,370
250250919004.0,371
250250920001.0,372
250250920002.0,373
250250920003.0,374
250250920004.0,375
250250921015.0,380
250250921014.0,379
250250921012.0,377
250250922001.0,381
250250201014.0,110
250250103001.0,76
250250103002.0,77
250250104032.0,79
