FID,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STAr,Shape_STLe,ShapeSTAre,ShapeSTLen,PARK_ID,REGION,TC_ID,Shape_Leng,OBJECTID_1,TC_ID_1,VALUE_0,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,OBJECTID_2,TC_ID_12,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,Shape__Area,Shape__Length
1,7819,Wilson Park,City of Boston, ,1,Allston-Brighton,0.09717567,"1686 Commonwealth Ave., Boston, MA",Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,PWD,0,0,4233.046875,256.7300082, ,PARK_Maintenance_Region 4,7819,256.7300082,1,7819,0,2179,1970,4233,15,1985,51.47649421,46.53909757,46.89345618,0.354358611,1,7819,4233,2179,1970,0,0,0,69,15,4149,84,51.47649421,46.53909757,0,0,0,1.63004961,0.354358611,98.01559178,1.984408221,4233.047119,256.7300082
2,7820,Nickerson Field,Private, ,3,Allston-Brighton,6.34559501,"285 Babcock St, Boston, MA",Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,N,Boston University Field, ,0,0,276419.0332,2104.702611, ,INFO_Reallocation From Dept,7820,2104.702611,2,7820,0,17915,31527,276421,213579,245106,6.48105607,11.40542868,88.67126593,77.26583726,2,7820,276421,17915,31527,0,0,13400,0,213579,49442,226979,6.48105607,11.40542868,0,0,4.847677998,0,77.26583726,17.88648475,82.11351525,276419.0325,2104.702611
3,7821,Hooker-Sorrento Street Playground,City of Boston,A97,3,Allston-Brighton,1.00537799,"120 Hooker St, Boston, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,43737.35034,852.8441117,156,PARK_Maintenance_Region 4,7821,852.8441117,3,7821,1,25781,9621,43732,8206,17827,58.95225464,21.99990853,40.76420013,18.76429159,3,7821,43732,25781,9621,0,0,87,37,8206,35402,8330,58.95225464,21.99990853,0,0,0.198938992,0.084606238,18.76429159,80.95216318,19.04783682,43737.35059,852.8441117
4,7822,Smith Playground,City of Boston,A97,3,Allston-Brighton,14.79771231,"235 Western Ave., Boston, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,654457.5034,3624.893621,284,PARK_Maintenance_Region 4,7822,3624.893621,4,7822,2,42095,448946,654462,156718,605664,6.432000636,68.59771843,92.54379933,23.9460809,4,7822,654462,42095,448946,72345,0,0,6703,84373,563386,91076,6.432000636,68.59771843,11.05411773,0,0,1.02420003,12.89196317,86.0838368,13.9161632,654457.5042,3624.893621
5,7823,Fern Square,City of Boston,A97,1,Allston-Brighton,0.04054316,"101 Franklin St, Boston, MA",Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,"James F. Collins Square, Franklin Square", ,0,0,1938.695068,207.3205312,115,PARK_Maintenance_Region 4,7823,207.3205312,5,7823,0,1857,0,1938,81,81,95.82043344,0,4.179566563,4.179566563,5,7823,1938,1857,0,0,0,0,0,81,1857,81,95.82043344,0,0,0,0,0,4.179566563,95.82043344,4.179566563,1938.69458,207.3205312
6,7824,Ringer Playground,City of Boston,A97,3,Allston-Brighton,10.25585494,"75 Elmwood St, Allston, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,447031.2869,3765.829546,259,PARK_Maintenance_Region 4,7824,3765.829546,6,7824,0,290415,112530,447031,44042,156572,64.96529323,25.17275088,35.02486405,9.852113164,6,7824,447031,290415,112530,5077,0,0,44,38965,408022,39009,64.96529323,25.17275088,1.13571542,0,0,0.009842718,8.716397744,91.27375954,8.726240462,447031.2871,3765.829546
7,7825,Kennedy Rock,Private, ,6,Allston-Brighton,2.21054314,"2100 Beacon St, Brighton, MA",Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,96292.97168,1270.349749, ,INFO_Reallocation From Dept,7825,1270.349749,7,7825,0,77756,2642,96308,12751,15393,80.73680276,2.74328197,15.9830959,13.23981393,7,7825,96308,77756,2642,0,0,3159,0,12751,80398,15910,80.73680276,2.74328197,0,0,3.280101342,0,13.23981393,83.48008473,16.51991527,96292.97095,1270.349749
8,7826,McKinney Playground,City of Boston,A97,3,Allston-Brighton,5.89138132,"74 Faneuil St, Boston, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,256633.1343,2170.126268,193,PARK_Maintenance_Region 4,7826,2170.126268,8,7826,0,72270,138865,256635,45442,184307,28.16061722,54.10992265,71.81678259,17.70685994,8,7826,256635,72270,138865,21957,0,0,58,23485,233092,23543,28.16061722,54.10992265,8.555730902,0,0,0.022600191,9.151129035,90.82627077,9.173729226,256633.1333,2170.126268
9,7826,McKinney Playground,City of Boston,A97,3,Allston-Brighton,5.89138132,"61 Faneuil St, Boston, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,256633.1343,2170.126268,193,PARK_Maintenance_Region 4,7826,2170.126268,8,7826,0,72270,138865,256635,45442,184307,28.16061722,54.10992265,71.81678259,17.70685994,8,7826,256635,72270,138865,21957,0,0,58,23485,233092,23543,28.16061722,54.10992265,8.555730902,0,0,0.022600191,9.151129035,90.82627077,9.173729226,256633.1333,2170.126268
10,7827,Hobart Park,City of Boston,A97,3,Allston-Brighton,0.80884689,"18 Ranlegh Rd., Boston, MA",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,35233.99756,797.5968022,154,PARK_Maintenance_Region 4,7827,797.5968022,9,7827,0,11252,13244,35237,10414,23658,31.93234384,37.58549252,67.13965434,29.55416182,9,7827,35237,11252,13244,0,0,76,251,10414,24496,10741,31.93234384,37.58549252,0,0,0.215682379,0.712319437,29.55416182,69.51783637,30.48216363,35233.99731,797.5968022
